2022-04-03 16:42:58,452 Logging directory: /scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/project_TransUNet/TransUNet/log_dir/trFETS_train_cv1_r3/i2i2l/
2022-04-03 16:42:58,453 Tensorboard directory: /scratch_net/biwidl217_second/arismu/Tensorboard/trFETS_train_cv1_r3/i2i2l/
2022-04-03 16:42:58,453 ============================================================
2022-04-03 16:42:58,453 EXPERIMENT NAME: trFETS_train_cv1_r3/i2i2l/
2022-04-03 16:42:58,453 ============================================================
2022-04-03 16:42:58,453 Loading data...
2022-04-03 16:42:58,454 Already preprocessed Training Data Part 1. Loading now...
2022-04-03 16:42:58,635 Already preprocessed Training Data Part2. Loading now...
2022-04-03 16:42:58,906 Already preprocessed Training Data Part3. Loading now...
2022-04-03 16:42:59,183 Already preprocessed this configuration. Loading now...
2022-04-03 16:49:12,889 Training Images: torch.Size([240, 240, 54560])
2022-04-03 16:49:12,890 Training Labels: torch.Size([240, 240, 54560])
2022-04-03 16:49:12,890 Validation Images: torch.Size([240, 240, 12400])
2022-04-03 16:49:12,890 Validation Labels: torch.Size([240, 240, 12400])
2022-04-03 16:49:12,890 ============================================================
2022-04-03 16:49:12,919 17 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-04-03 16:49:15,205 iteration 1 : loss : 1.257054, loss_ce: 1.627695
2022-04-03 16:49:17,551 iteration 2 : loss : 1.240924, loss_ce: 1.615261
2022-04-03 16:49:19,601 iteration 3 : loss : 1.198299, loss_ce: 1.527723
2022-04-03 16:49:21,726 iteration 4 : loss : 1.165229, loss_ce: 1.464037
2022-04-03 16:49:23,594 iteration 5 : loss : 1.130479, loss_ce: 1.405484
2022-04-03 16:49:25,425 iteration 6 : loss : 1.107719, loss_ce: 1.361227
2022-04-03 16:49:27,271 iteration 7 : loss : 1.089652, loss_ce: 1.329135
2022-04-03 16:49:29,381 iteration 8 : loss : 1.059917, loss_ce: 1.276629
2022-04-03 16:49:31,483 iteration 9 : loss : 1.045602, loss_ce: 1.253526
2022-04-03 16:49:33,687 iteration 10 : loss : 1.031973, loss_ce: 1.231183
2022-04-03 16:49:35,695 iteration 11 : loss : 1.030310, loss_ce: 1.211826
2022-04-03 16:49:37,662 iteration 12 : loss : 1.053615, loss_ce: 1.259341
2022-04-03 16:49:39,734 iteration 13 : loss : 1.013457, loss_ce: 1.180208
2022-04-03 16:49:41,880 iteration 14 : loss : 0.993436, loss_ce: 1.159443
2022-04-03 16:49:43,783 iteration 15 : loss : 0.969902, loss_ce: 1.129839
2022-04-03 16:49:45,862 iteration 16 : loss : 1.000106, loss_ce: 1.152859
2022-04-03 16:49:47,610 iteration 17 : loss : 0.988397, loss_ce: 1.138357
2022-04-03 16:49:49,926 iteration 18 : loss : 0.946953, loss_ce: 1.091946
2022-04-03 16:49:51,984 iteration 19 : loss : 0.947009, loss_ce: 1.077426
2022-04-03 16:49:53,814 iteration 20 : loss : 0.950216, loss_ce: 1.074631
2022-04-03 16:49:55,874 iteration 21 : loss : 0.955845, loss_ce: 1.074371
2022-04-03 16:49:57,881 iteration 22 : loss : 0.975397, loss_ce: 1.118339
2022-04-03 16:50:00,005 iteration 23 : loss : 0.942341, loss_ce: 1.056972
2022-04-03 16:50:01,992 iteration 24 : loss : 0.900583, loss_ce: 0.992167
2022-04-03 16:50:04,494 iteration 25 : loss : 0.925352, loss_ce: 1.035230
2022-04-03 16:50:06,661 iteration 26 : loss : 0.901443, loss_ce: 0.987440
2022-04-03 16:50:08,731 iteration 27 : loss : 0.899147, loss_ce: 0.984004
2022-04-03 16:50:10,546 iteration 28 : loss : 0.909301, loss_ce: 1.006126
2022-04-03 16:50:12,720 iteration 29 : loss : 0.879675, loss_ce: 0.946134
2022-04-03 16:50:14,661 iteration 30 : loss : 0.912709, loss_ce: 1.014143
2022-04-03 16:50:17,239 iteration 31 : loss : 0.871060, loss_ce: 0.927559
2022-04-03 16:50:19,581 iteration 32 : loss : 0.862977, loss_ce: 0.925978
2022-04-03 16:50:21,860 iteration 33 : loss : 0.906176, loss_ce: 1.000619
2022-04-03 16:50:23,835 iteration 34 : loss : 0.851800, loss_ce: 0.902098
2022-04-03 16:50:26,041 iteration 35 : loss : 0.893819, loss_ce: 0.974402
2022-04-03 16:50:28,445 iteration 36 : loss : 0.856439, loss_ce: 0.923999
2022-04-03 16:50:30,256 iteration 37 : loss : 0.862911, loss_ce: 0.914273
2022-04-03 16:50:32,191 iteration 38 : loss : 0.848238, loss_ce: 0.894276
2022-04-03 16:50:34,361 iteration 39 : loss : 0.835878, loss_ce: 0.874411
2022-04-03 16:50:36,389 iteration 40 : loss : 0.808253, loss_ce: 0.819831
2022-04-03 16:50:38,568 iteration 41 : loss : 0.818841, loss_ce: 0.847974
2022-04-03 16:50:41,525 iteration 42 : loss : 0.805090, loss_ce: 0.840967
2022-04-03 16:50:44,028 iteration 43 : loss : 0.828217, loss_ce: 0.863611
2022-04-03 16:50:46,915 iteration 44 : loss : 0.776152, loss_ce: 0.789723
2022-04-03 16:50:49,292 iteration 45 : loss : 0.771357, loss_ce: 0.775064
2022-04-03 16:50:51,887 iteration 46 : loss : 0.791829, loss_ce: 0.807597
2022-04-03 16:50:54,182 iteration 47 : loss : 0.809670, loss_ce: 0.830543
2022-04-03 16:50:56,365 iteration 48 : loss : 0.786596, loss_ce: 0.779837
2022-04-03 16:50:58,406 iteration 49 : loss : 0.782105, loss_ce: 0.784964
2022-04-03 16:51:00,386 iteration 50 : loss : 0.771782, loss_ce: 0.762755
2022-04-03 16:51:03,106 iteration 51 : loss : 0.762471, loss_ce: 0.728859
2022-04-03 16:51:05,144 iteration 52 : loss : 0.736035, loss_ce: 0.722135
2022-04-03 16:51:07,749 iteration 53 : loss : 0.724516, loss_ce: 0.694379
2022-04-03 16:51:10,281 iteration 54 : loss : 0.730504, loss_ce: 0.709567
2022-04-03 16:51:12,606 iteration 55 : loss : 0.726998, loss_ce: 0.683615
2022-04-03 16:51:14,573 iteration 56 : loss : 0.706624, loss_ce: 0.660403
2022-04-03 16:51:17,126 iteration 57 : loss : 0.727355, loss_ce: 0.690831
2022-04-03 16:51:19,335 iteration 58 : loss : 0.692499, loss_ce: 0.639481
2022-04-03 16:51:21,447 iteration 59 : loss : 0.712884, loss_ce: 0.651874
2022-04-03 16:51:23,839 iteration 60 : loss : 0.749035, loss_ce: 0.739262
2022-04-03 16:51:25,646 iteration 61 : loss : 0.668029, loss_ce: 0.610118
2022-04-03 16:51:28,119 iteration 62 : loss : 0.675355, loss_ce: 0.597706
2022-04-03 16:51:30,432 iteration 63 : loss : 0.670224, loss_ce: 0.582406
2022-04-03 16:51:32,889 iteration 64 : loss : 0.658299, loss_ce: 0.565740
2022-04-03 16:51:34,710 iteration 65 : loss : 0.650731, loss_ce: 0.534708
2022-04-03 16:51:36,628 iteration 66 : loss : 0.618153, loss_ce: 0.505264
2022-04-03 16:51:38,506 iteration 67 : loss : 0.616733, loss_ce: 0.504961
2022-04-03 16:51:40,753 iteration 68 : loss : 0.593557, loss_ce: 0.490276
2022-04-03 16:51:42,744 iteration 69 : loss : 0.622031, loss_ce: 0.470745
2022-04-03 16:51:44,773 iteration 70 : loss : 0.590667, loss_ce: 0.473485
2022-04-03 16:51:46,864 iteration 71 : loss : 0.572395, loss_ce: 0.443063
2022-04-03 16:51:48,958 iteration 72 : loss : 0.564841, loss_ce: 0.443794
2022-04-03 16:51:51,228 iteration 73 : loss : 0.576609, loss_ce: 0.430336
2022-04-03 16:51:53,252 iteration 74 : loss : 0.538493, loss_ce: 0.417414
2022-04-03 16:51:55,575 iteration 75 : loss : 0.535527, loss_ce: 0.407588
2022-04-03 16:51:57,632 iteration 76 : loss : 0.544858, loss_ce: 0.391981
2022-04-03 16:51:59,793 iteration 77 : loss : 0.521767, loss_ce: 0.380234
2022-04-03 16:52:01,711 iteration 78 : loss : 0.520526, loss_ce: 0.375988
2022-04-03 16:52:03,803 iteration 79 : loss : 0.531675, loss_ce: 0.369661
2022-04-03 16:52:05,778 iteration 80 : loss : 0.543839, loss_ce: 0.371102
2022-04-03 16:52:07,606 iteration 81 : loss : 0.505416, loss_ce: 0.347347
2022-04-03 16:52:09,668 iteration 82 : loss : 0.487183, loss_ce: 0.333045
2022-04-03 16:52:12,013 iteration 83 : loss : 0.487117, loss_ce: 0.335723
2022-04-03 16:52:14,127 iteration 84 : loss : 0.487440, loss_ce: 0.326018
2022-04-03 16:52:16,499 iteration 85 : loss : 0.487500, loss_ce: 0.311866
2022-04-03 16:52:18,659 iteration 86 : loss : 0.457778, loss_ce: 0.302801
