2022-03-14 10:46:39,802 ============================================================
2022-03-14 10:46:39,803 Loading data...
2022-03-14 10:46:39,804 Already preprocessed this configuration. Loading now...
2022-03-14 10:46:40,098 Already preprocessed this configuration. Loading now...
2022-03-14 10:50:33,084 Training Images: torch.Size([240, 240, 54560])
2022-03-14 10:50:33,084 Training Labels: torch.Size([240, 240, 54560])
2022-03-14 10:50:33,084 Validation Images: torch.Size([240, 240, 12400])
2022-03-14 10:50:33,085 Validation Labels: torch.Size([240, 240, 12400])
2022-03-14 10:50:33,085 ============================================================
2022-03-14 10:50:33,133 9 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-03-14 10:50:35,328 iteration 1 : loss : 1.056917, loss_ce: 1.249767
2022-03-14 10:50:37,447 iteration 2 : loss : 1.021952, loss_ce: 1.185215
2022-03-14 10:50:38,838 iteration 3 : loss : 0.971760, loss_ce: 1.107933
2022-03-14 10:50:40,500 iteration 4 : loss : 0.956318, loss_ce: 1.076823
2022-03-14 10:50:42,316 iteration 5 : loss : 0.914685, loss_ce: 1.014757
2022-03-14 10:50:43,978 iteration 6 : loss : 0.889784, loss_ce: 0.978855
2022-03-14 10:50:45,329 iteration 7 : loss : 0.891686, loss_ce: 0.963740
2022-03-14 10:50:47,827 iteration 8 : loss : 0.905028, loss_ce: 0.977013
2022-03-14 10:50:49,648 iteration 9 : loss : 0.841694, loss_ce: 0.904125
2022-03-14 10:50:51,044 iteration 10 : loss : 0.829705, loss_ce: 0.870775
2022-03-14 10:50:52,732 iteration 11 : loss : 0.819440, loss_ce: 0.843516
2022-03-14 10:50:53,985 iteration 12 : loss : 0.814038, loss_ce: 0.819042
2022-03-14 10:50:55,307 iteration 13 : loss : 0.791331, loss_ce: 0.788743
2022-03-14 10:50:57,286 iteration 14 : loss : 0.782024, loss_ce: 0.764793
2022-03-14 10:50:58,952 iteration 15 : loss : 0.767211, loss_ce: 0.739969
2022-03-14 10:51:00,483 iteration 16 : loss : 0.757531, loss_ce: 0.719463
2022-03-14 10:51:02,298 iteration 17 : loss : 0.740798, loss_ce: 0.694625
2022-03-14 10:51:04,095 iteration 18 : loss : 0.743678, loss_ce: 0.689909
2022-03-14 10:51:06,349 iteration 19 : loss : 0.712597, loss_ce: 0.657538
2022-03-14 10:51:08,303 iteration 20 : loss : 0.712465, loss_ce: 0.648577
2022-03-14 10:51:09,597 iteration 21 : loss : 0.706164, loss_ce: 0.636279
2022-03-14 10:51:11,684 iteration 22 : loss : 0.690767, loss_ce: 0.615359
2022-03-14 10:51:13,182 iteration 23 : loss : 0.675476, loss_ce: 0.598561
2022-03-14 10:51:14,790 iteration 24 : loss : 0.673055, loss_ce: 0.583994
2022-03-14 10:51:16,372 iteration 25 : loss : 0.667446, loss_ce: 0.579958
2022-03-14 10:51:18,418 iteration 26 : loss : 0.661337, loss_ce: 0.550488
2022-03-14 10:51:20,326 iteration 27 : loss : 0.655444, loss_ce: 0.534438
2022-03-14 10:51:21,837 iteration 28 : loss : 0.633443, loss_ce: 0.517538
2022-03-14 10:51:23,404 iteration 29 : loss : 0.702990, loss_ce: 0.615219
2022-03-14 10:51:25,503 iteration 30 : loss : 0.648900, loss_ce: 0.521640
2022-03-14 10:51:27,939 iteration 31 : loss : 0.623635, loss_ce: 0.490054
2022-03-14 10:51:29,719 iteration 32 : loss : 0.613743, loss_ce: 0.474979
2022-03-14 10:51:31,033 iteration 33 : loss : 0.600465, loss_ce: 0.473679
2022-03-14 10:51:33,062 iteration 34 : loss : 0.575617, loss_ce: 0.450271
2022-03-14 10:51:34,699 iteration 35 : loss : 0.592861, loss_ce: 0.442700
2022-03-14 10:51:36,516 iteration 36 : loss : 0.588630, loss_ce: 0.427698
2022-03-14 10:51:38,441 iteration 37 : loss : 0.589132, loss_ce: 0.416546
2022-03-14 10:51:40,195 iteration 38 : loss : 0.574760, loss_ce: 0.398929
2022-03-14 10:51:42,316 iteration 39 : loss : 0.546098, loss_ce: 0.397537
