2022-03-31 14:27:30,939 ============================================================
2022-03-31 14:27:30,940 Loading data...
2022-03-31 14:27:30,941 Already preprocessed Training Data Part 1. Loading now...
2022-03-31 14:27:31,381 Already preprocessed Training Data Part2. Loading now...
2022-03-31 14:27:31,790 Already preprocessed Training Data Part3. Loading now...
2022-03-31 14:27:32,230 Already preprocessed this configuration. Loading now...
2022-03-31 14:34:34,989 Training Images: torch.Size([240, 240, 54560])
2022-03-31 14:34:34,990 Training Labels: torch.Size([240, 240, 54560])
2022-03-31 14:34:34,990 Validation Images: torch.Size([240, 240, 12400])
2022-03-31 14:34:34,990 Validation Labels: torch.Size([240, 240, 12400])
2022-03-31 14:34:34,990 ============================================================
2022-03-31 14:34:35,036 17 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-03-31 14:34:37,870 iteration 1 : loss : 1.129250, loss_ce: 1.391850
2022-03-31 14:34:40,742 iteration 2 : loss : 1.041112, loss_ce: 1.248767
2022-03-31 14:34:43,118 iteration 3 : loss : 0.997249, loss_ce: 1.166274
2022-03-31 14:34:45,623 iteration 4 : loss : 0.930086, loss_ce: 1.049393
2022-03-31 14:34:47,671 iteration 5 : loss : 0.876145, loss_ce: 0.959202
2022-03-31 14:34:49,653 iteration 6 : loss : 0.832640, loss_ce: 0.876651
2022-03-31 14:34:51,652 iteration 7 : loss : 0.786489, loss_ce: 0.797265
2022-03-31 14:34:54,134 iteration 8 : loss : 0.742079, loss_ce: 0.722312
2022-03-31 14:34:56,589 iteration 9 : loss : 0.699468, loss_ce: 0.655611
2022-03-31 14:34:59,239 iteration 10 : loss : 0.663554, loss_ce: 0.598449
2022-03-31 14:35:01,554 iteration 11 : loss : 0.644390, loss_ce: 0.536676
2022-03-31 14:35:03,786 iteration 12 : loss : 0.617147, loss_ce: 0.496899
2022-03-31 14:35:06,207 iteration 13 : loss : 0.587838, loss_ce: 0.440066
2022-03-31 14:35:08,768 iteration 14 : loss : 0.548346, loss_ce: 0.403789
2022-03-31 14:35:10,866 iteration 15 : loss : 0.519170, loss_ce: 0.373468
2022-03-31 14:35:13,266 iteration 16 : loss : 0.518246, loss_ce: 0.312942
2022-03-31 14:35:15,087 iteration 17 : loss : 0.502027, loss_ce: 0.290485
2022-03-31 14:35:17,947 iteration 18 : loss : 0.448192, loss_ce: 0.278604
2022-03-31 14:35:20,356 iteration 19 : loss : 0.434645, loss_ce: 0.243209
2022-03-31 14:35:22,334 iteration 20 : loss : 0.430609, loss_ce: 0.220065
2022-03-31 14:35:24,717 iteration 21 : loss : 0.436244, loss_ce: 0.192082
2022-03-31 14:35:27,008 iteration 22 : loss : 0.405836, loss_ce: 0.179573
2022-03-31 14:35:29,462 iteration 23 : loss : 0.398843, loss_ce: 0.161202
2022-03-31 14:35:31,628 iteration 24 : loss : 0.373065, loss_ce: 0.155283
2022-03-31 14:35:34,662 iteration 25 : loss : 0.366524, loss_ce: 0.134832
