2022-04-02 13:19:37,855 ============================================================
2022-04-02 13:19:37,856 Loading data...
2022-04-02 13:19:37,857 Already preprocessed Training Data Part 1. Loading now...
2022-04-02 13:19:38,090 Already preprocessed Training Data Part2. Loading now...
2022-04-02 13:19:38,328 Already preprocessed Training Data Part3. Loading now...
2022-04-02 13:19:38,646 Already preprocessed this configuration. Loading now...
2022-04-02 13:27:34,085 Training Images: torch.Size([240, 240, 54560])
2022-04-02 13:27:35,848 Training Labels: torch.Size([240, 240, 54560])
2022-04-02 13:27:35,848 Validation Images: torch.Size([240, 240, 12400])
2022-04-02 13:27:35,849 Validation Labels: torch.Size([240, 240, 12400])
2022-04-02 13:27:35,849 ============================================================
2022-04-02 13:28:01,792 17 iterations per epoch. 119351 max iterations 

  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-04-02 13:28:04,366 iteration 1 : loss : 1.180121, loss_ce: 1.479800
2022-04-02 13:28:07,896 iteration 2 : loss : 1.100200, loss_ce: 1.348237
2022-04-02 13:28:10,467 iteration 3 : loss : 1.032519, loss_ce: 1.226178
2022-04-02 13:28:12,774 iteration 4 : loss : 0.989803, loss_ce: 1.144629
2022-04-02 13:28:15,775 iteration 5 : loss : 0.959105, loss_ce: 1.085586
2022-04-02 13:28:18,828 iteration 6 : loss : 0.894552, loss_ce: 0.982678
2022-04-02 13:28:20,893 iteration 7 : loss : 0.864814, loss_ce: 0.912087
2022-04-02 13:28:23,002 iteration 8 : loss : 0.801355, loss_ce: 0.826690
2022-04-02 13:28:25,851 iteration 9 : loss : 0.767153, loss_ce: 0.752759
2022-04-02 13:28:28,257 iteration 10 : loss : 0.716436, loss_ce: 0.693772
2022-04-02 13:28:31,243 iteration 11 : loss : 0.714313, loss_ce: 0.652748
2022-04-02 13:28:34,051 iteration 12 : loss : 0.635010, loss_ce: 0.557293
2022-04-02 13:28:37,164 iteration 13 : loss : 0.631093, loss_ce: 0.509585
2022-04-02 13:28:39,483 iteration 14 : loss : 0.553909, loss_ce: 0.463712
2022-04-02 13:28:42,044 iteration 15 : loss : 0.564402, loss_ce: 0.420926
2022-04-02 13:28:44,660 iteration 16 : loss : 0.526239, loss_ce: 0.375438
2022-04-02 13:28:46,932 iteration 17 : loss : 0.517757, loss_ce: 0.350446
2022-04-02 13:28:48,950 iteration 18 : loss : 0.477628, loss_ce: 0.313722
2022-04-02 13:28:51,471 iteration 19 : loss : 0.437491, loss_ce: 0.278728
2022-04-02 13:28:53,428 iteration 20 : loss : 0.473942, loss_ce: 0.254717
2022-04-02 13:28:55,879 iteration 21 : loss : 0.425278, loss_ce: 0.237511
2022-04-02 13:28:58,161 iteration 22 : loss : 0.402755, loss_ce: 0.220862
2022-04-02 13:29:00,369 iteration 23 : loss : 0.411567, loss_ce: 0.194283
2022-04-02 13:29:03,019 iteration 24 : loss : 0.363401, loss_ce: 0.167148
2022-04-02 13:29:05,620 iteration 25 : loss : 0.384370, loss_ce: 0.150050
2022-04-02 13:29:07,644 iteration 26 : loss : 0.340644, loss_ce: 0.150255
2022-04-02 13:29:09,761 iteration 27 : loss : 0.362963, loss_ce: 0.146211
2022-04-02 13:29:12,093 iteration 28 : loss : 0.312913, loss_ce: 0.134373
2022-04-02 13:29:14,879 iteration 29 : loss : 0.308139, loss_ce: 0.125800
2022-04-02 13:29:17,078 iteration 30 : loss : 0.322366, loss_ce: 0.105356
2022-04-02 13:29:19,377 iteration 31 : loss : 0.318929, loss_ce: 0.107298
2022-04-02 13:29:21,549 iteration 32 : loss : 0.293970, loss_ce: 0.090718
2022-04-02 13:29:23,558 iteration 33 : loss : 0.278380, loss_ce: 0.083078
2022-04-02 13:29:26,017 iteration 34 : loss : 0.294027, loss_ce: 0.076563
2022-04-02 13:29:28,984 iteration 35 : loss : 0.286533, loss_ce: 0.080855
2022-04-02 13:29:31,562 iteration 36 : loss : 0.283665, loss_ce: 0.064127
2022-04-02 13:29:33,693 iteration 37 : loss : 0.261117, loss_ce: 0.059169
2022-04-02 13:29:36,485 iteration 38 : loss : 0.294784, loss_ce: 0.056875
2022-04-02 13:29:38,857 iteration 39 : loss : 0.285238, loss_ce: 0.071055
2022-04-02 13:29:41,416 iteration 40 : loss : 0.304529, loss_ce: 0.052729
2022-04-02 13:29:43,730 iteration 41 : loss : 0.244951, loss_ce: 0.052819
2022-04-02 13:29:46,911 iteration 42 : loss : 0.292079, loss_ce: 0.058299
2022-04-02 13:29:49,200 iteration 43 : loss : 0.276482, loss_ce: 0.060168
2022-04-02 13:29:51,301 iteration 44 : loss : 0.278720, loss_ce: 0.048749
2022-04-02 13:29:53,843 iteration 45 : loss : 0.262737, loss_ce: 0.042465
2022-04-02 13:29:56,379 iteration 46 : loss : 0.268370, loss_ce: 0.047777
2022-04-02 13:29:58,914 iteration 47 : loss : 0.275153, loss_ce: 0.061813
2022-04-02 13:30:01,502 iteration 48 : loss : 0.277051, loss_ce: 0.052491
2022-04-02 13:30:04,695 iteration 49 : loss : 0.254768, loss_ce: 0.051056
2022-04-02 13:30:07,484 iteration 50 : loss : 0.266649, loss_ce: 0.058915
2022-04-02 13:30:10,668 iteration 51 : loss : 0.249232, loss_ce: 0.045593
2022-04-02 13:30:13,265 iteration 52 : loss : 0.282484, loss_ce: 0.050217
2022-04-02 13:30:15,670 iteration 53 : loss : 0.258802, loss_ce: 0.048513
2022-04-02 13:30:17,909 iteration 54 : loss : 0.291274, loss_ce: 0.045645
2022-04-02 13:30:19,819 iteration 55 : loss : 0.241080, loss_ce: 0.040655
2022-04-02 13:30:22,822 iteration 56 : loss : 0.231295, loss_ce: 0.034092
2022-04-02 13:30:25,318 iteration 57 : loss : 0.246579, loss_ce: 0.057612
2022-04-02 13:30:27,585 iteration 58 : loss : 0.220962, loss_ce: 0.037451
2022-04-02 13:30:30,010 iteration 59 : loss : 0.269797, loss_ce: 0.042813
2022-04-02 13:30:32,597 iteration 60 : loss : 0.234086, loss_ce: 0.030829
2022-04-02 13:30:35,387 iteration 61 : loss : 0.264886, loss_ce: 0.039384
2022-04-02 13:30:38,026 iteration 62 : loss : 0.235951, loss_ce: 0.039242
2022-04-02 13:30:40,275 iteration 63 : loss : 0.230165, loss_ce: 0.033667
2022-04-02 13:30:42,690 iteration 64 : loss : 0.232955, loss_ce: 0.030836
2022-04-02 13:30:45,225 iteration 65 : loss : 0.246501, loss_ce: 0.033046
2022-04-02 13:30:48,579 iteration 66 : loss : 0.203212, loss_ce: 0.024634
2022-04-02 13:30:51,589 iteration 67 : loss : 0.236633, loss_ce: 0.032003
2022-04-02 13:30:53,874 iteration 68 : loss : 0.230104, loss_ce: 0.032296
2022-04-02 13:30:56,749 iteration 69 : loss : 0.228870, loss_ce: 0.034407
2022-04-02 13:30:59,543 iteration 70 : loss : 0.205371, loss_ce: 0.022970
2022-04-02 13:31:02,209 iteration 71 : loss : 0.244834, loss_ce: 0.037924
2022-04-02 13:31:04,669 iteration 72 : loss : 0.288534, loss_ce: 0.039378
2022-04-02 13:31:07,155 iteration 73 : loss : 0.218873, loss_ce: 0.029327
2022-04-02 13:31:09,142 iteration 74 : loss : 0.246089, loss_ce: 0.040756
2022-04-02 13:31:11,341 iteration 75 : loss : 0.243353, loss_ce: 0.030748
2022-04-02 13:31:14,060 iteration 76 : loss : 0.232023, loss_ce: 0.022985
2022-04-02 13:31:16,710 iteration 77 : loss : 0.207507, loss_ce: 0.031244
2022-04-02 13:31:19,115 iteration 78 : loss : 0.201805, loss_ce: 0.028172
2022-04-02 13:31:21,298 iteration 79 : loss : 0.223564, loss_ce: 0.023117
2022-04-02 13:31:23,918 iteration 80 : loss : 0.211005, loss_ce: 0.032735
2022-04-02 13:31:25,848 iteration 81 : loss : 0.224890, loss_ce: 0.028027
2022-04-02 13:31:28,722 iteration 82 : loss : 0.194065, loss_ce: 0.026351
2022-04-02 13:31:31,408 iteration 83 : loss : 0.303671, loss_ce: 0.034309
2022-04-02 13:31:34,099 iteration 84 : loss : 0.208981, loss_ce: 0.026856
2022-04-02 13:31:36,416 iteration 85 : loss : 0.199653, loss_ce: 0.036356
