550607 2022-04-04 12:23:35,434 ============================================================
2022-04-04 12:23:35,435 Loading data...
2022-04-04 12:23:35,436 Already preprocessed Training Data Part 1. Loading now...
2022-04-04 12:23:35,677 Already preprocessed Training Data Part2. Loading now...
2022-04-04 12:23:36,033 Already preprocessed Training Data Part3. Loading now...
2022-04-04 12:23:36,398 Already preprocessed this configuration. Loading now...
2022-04-04 12:29:52,725 Training Images: torch.Size([240, 240, 54560])
2022-04-04 12:29:52,726 Training Labels: torch.Size([240, 240, 54560])
2022-04-04 12:29:52,726 Validation Images: torch.Size([240, 240, 12400])
2022-04-04 12:29:52,726 Validation Labels: torch.Size([240, 240, 12400])
2022-04-04 12:29:52,726 ============================================================
2022-04-04 12:29:52,777 17 iterations per epoch. 119351 max iterations 

  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-04-04 12:29:55,115 iteration 1 : loss : 1.215573, loss_ce: 1.540627
2022-04-04 12:29:57,229 iteration 2 : loss : 1.145328, loss_ce: 1.418507
2022-04-04 12:29:59,255 iteration 3 : loss : 1.050731, loss_ce: 1.263378
2022-04-04 12:30:01,375 iteration 4 : loss : 0.990648, loss_ce: 1.167561
2022-04-04 12:30:03,401 iteration 5 : loss : 0.953211, loss_ce: 1.084508
2022-04-04 12:30:05,449 iteration 6 : loss : 0.916407, loss_ce: 1.023416
2022-04-04 12:30:07,281 iteration 7 : loss : 0.864376, loss_ce: 0.942180
2022-04-04 12:30:09,187 iteration 8 : loss : 0.832745, loss_ce: 0.868248
2022-04-04 12:30:11,122 iteration 9 : loss : 0.800882, loss_ce: 0.811763
2022-04-04 12:30:12,906 iteration 10 : loss : 0.787958, loss_ce: 0.781443
2022-04-04 12:30:14,558 iteration 11 : loss : 0.748210, loss_ce: 0.713679
2022-04-04 12:30:16,461 iteration 12 : loss : 0.723990, loss_ce: 0.667936
2022-04-04 12:30:18,648 iteration 13 : loss : 0.676524, loss_ce: 0.601835
2022-04-04 12:30:21,158 iteration 14 : loss : 0.645614, loss_ce: 0.549987
2022-04-04 12:30:23,052 iteration 15 : loss : 0.622450, loss_ce: 0.510508
2022-04-04 12:30:24,916 iteration 16 : loss : 0.588527, loss_ce: 0.458818
2022-04-04 12:30:26,654 iteration 17 : loss : 0.567793, loss_ce: 0.419627
