2022-04-07 09:50:57,545 ============================================================
2022-04-07 09:50:57,549 Loading data...
2022-04-07 09:50:57,551 Already preprocessed Training Data Part 1. Loading now...
2022-04-07 09:50:57,589 Already preprocessed Training Data Part2. Loading now...
2022-04-07 09:50:57,598 Already preprocessed Training Data Part3. Loading now...
2022-04-07 09:50:57,606 Already preprocessed this configuration. Loading now...
2022-04-07 09:57:16,390 Training Images: torch.Size([240, 240, 54560])
2022-04-07 09:57:16,391 Training Labels: torch.Size([240, 240, 54560])
2022-04-07 09:57:16,391 Validation Images: torch.Size([240, 240, 12400])
2022-04-07 09:57:16,391 Validation Labels: torch.Size([240, 240, 12400])
2022-04-07 09:57:16,391 ============================================================
2022-04-07 09:57:16,468 17 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-04-07 09:57:22,525 iteration 1 : loss : 1.116143, loss_ce: 1.373070
2022-04-07 09:57:24,086 iteration 2 : loss : 1.062640, loss_ce: 1.274954
2022-04-07 09:57:25,100 iteration 3 : loss : 1.032180, loss_ce: 1.216807
2022-04-07 09:57:26,431 iteration 4 : loss : 0.974507, loss_ce: 1.150927
2022-04-07 09:57:27,810 iteration 5 : loss : 0.974343, loss_ce: 1.132098
2022-04-07 09:57:28,572 iteration 6 : loss : 0.957325, loss_ce: 1.102768
2022-04-07 09:57:29,929 iteration 7 : loss : 0.945868, loss_ce: 1.076408
2022-04-07 09:57:30,953 iteration 8 : loss : 0.909075, loss_ce: 1.034196
2022-04-07 09:57:32,499 iteration 9 : loss : 0.902484, loss_ce: 1.019212
2022-04-07 09:57:33,827 iteration 10 : loss : 0.932288, loss_ce: 1.035366
2022-04-07 09:57:35,005 iteration 11 : loss : 0.888613, loss_ce: 0.984347
2022-04-07 09:57:35,974 iteration 12 : loss : 0.910905, loss_ce: 1.006316
2022-04-07 09:57:37,218 iteration 13 : loss : 0.859742, loss_ce: 0.945633
2022-04-07 09:57:38,813 iteration 14 : loss : 0.853239, loss_ce: 0.929624
2022-04-07 09:57:39,695 iteration 15 : loss : 0.849244, loss_ce: 0.915119
2022-04-07 09:57:40,606 iteration 16 : loss : 0.857112, loss_ce: 0.913281
2022-04-07 09:57:41,985 iteration 17 : loss : 0.832542, loss_ce: 0.884812
2022-04-07 09:57:43,126 iteration 18 : loss : 0.804817, loss_ce: 0.852880
2022-04-07 09:57:44,417 iteration 19 : loss : 0.818586, loss_ce: 0.852269
2022-04-07 09:57:45,491 iteration 20 : loss : 0.803278, loss_ce: 0.834849
2022-04-07 09:57:46,716 iteration 21 : loss : 0.783377, loss_ce: 0.810224
2022-04-07 09:57:47,651 iteration 22 : loss : 0.753531, loss_ce: 0.777929
2022-04-07 09:57:48,966 iteration 23 : loss : 0.796713, loss_ce: 0.803050
2022-04-07 09:57:50,560 iteration 24 : loss : 0.751892, loss_ce: 0.766957
2022-04-07 09:57:51,807 iteration 25 : loss : 0.738177, loss_ce: 0.735686
2022-04-07 09:57:53,087 iteration 26 : loss : 0.726892, loss_ce: 0.723158
2022-04-07 09:57:54,000 iteration 27 : loss : 0.707912, loss_ce: 0.700207
2022-04-07 09:57:55,050 iteration 28 : loss : 0.705218, loss_ce: 0.683756
2022-04-07 09:57:56,447 iteration 29 : loss : 0.692329, loss_ce: 0.666637
2022-04-07 09:57:57,953 iteration 30 : loss : 0.725071, loss_ce: 0.691645
2022-04-07 09:57:59,436 iteration 31 : loss : 0.669422, loss_ce: 0.653521
2022-04-07 09:58:00,386 iteration 32 : loss : 0.660746, loss_ce: 0.626524
2022-04-07 09:58:01,648 iteration 33 : loss : 0.655210, loss_ce: 0.618348
2022-04-07 09:58:02,776 iteration 34 : loss : 0.674723, loss_ce: 0.610106
2022-04-07 09:58:03,910 iteration 35 : loss : 0.633166, loss_ce: 0.588128
2022-04-07 09:58:04,884 iteration 36 : loss : 0.648621, loss_ce: 0.597577
2022-04-07 09:58:06,390 iteration 37 : loss : 0.631389, loss_ce: 0.565973
2022-04-07 09:58:07,750 iteration 38 : loss : 0.646327, loss_ce: 0.560889
2022-04-07 09:58:09,104 iteration 39 : loss : 0.610802, loss_ce: 0.528902
2022-04-07 09:58:10,466 iteration 40 : loss : 0.602590, loss_ce: 0.519061
2022-04-07 09:58:11,312 iteration 41 : loss : 0.603313, loss_ce: 0.506344
2022-04-07 09:58:12,740 iteration 42 : loss : 0.621639, loss_ce: 0.508924
2022-04-07 09:58:13,939 iteration 43 : loss : 0.592517, loss_ce: 0.495590
2022-04-07 09:58:15,314 iteration 44 : loss : 0.641862, loss_ce: 0.571052
2022-04-07 09:58:16,434 iteration 45 : loss : 0.603439, loss_ce: 0.487836
2022-04-07 09:58:17,457 iteration 46 : loss : 0.552978, loss_ce: 0.463130
2022-04-07 09:58:18,938 iteration 47 : loss : 0.563130, loss_ce: 0.469272
2022-04-07 09:58:20,070 iteration 48 : loss : 0.561361, loss_ce: 0.461544
2022-04-07 09:58:21,492 iteration 49 : loss : 0.614745, loss_ce: 0.479347
2022-04-07 09:58:22,780 iteration 50 : loss : 0.563882, loss_ce: 0.443403
2022-04-07 09:58:24,238 iteration 51 : loss : 0.547312, loss_ce: 0.426523
