/scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/TTA/TTA/utils.py:965: SyntaxWarning: "is" with a literal. Did you mean "=="?
  if mask_type is 'squares_jigsaw':
/scratch_net/biwidl217_second/arismu/Master_Thesis_Codes/TTA/TTA/utils.py:972: SyntaxWarning: "is" with a literal. Did you mean "=="?
  elif mask_type is 'squares_zeros':
2022-04-18 21:34:08,179 ============================================================
2022-04-18 21:34:08,180 Loading data...
2022-04-18 21:34:08,183 Already preprocessed Training Data Part 1. Loading now...
2022-04-18 21:34:08,209 Already preprocessed Training Data Part2. Loading now...
2022-04-18 21:34:08,218 Already preprocessed Training Data Part3. Loading now...
2022-04-18 21:34:08,225 Already preprocessed this configuration. Loading now...
2022-04-18 21:40:31,386 Training Images: torch.Size([240, 240, 54560])
2022-04-18 21:40:31,387 Training Labels: torch.Size([240, 240, 54560])
2022-04-18 21:40:31,387 Validation Images: torch.Size([240, 240, 12400])
2022-04-18 21:40:31,387 Validation Labels: torch.Size([240, 240, 12400])
2022-04-18 21:40:31,387 ============================================================
2022-04-18 21:40:31,432 17 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-04-18 21:40:37,546 iteration 1 : loss : 1.239429, loss_ce: 1.603686
2022-04-18 21:40:40,022 iteration 2 : loss : 1.189263, loss_ce: 1.506591
2022-04-18 21:40:41,940 iteration 3 : loss : 1.150990, loss_ce: 1.433662
2022-04-18 21:40:43,014 iteration 4 : loss : 1.094110, loss_ce: 1.360805
2022-04-18 21:40:44,589 iteration 5 : loss : 1.116238, loss_ce: 1.373027
2022-04-18 21:40:47,201 iteration 6 : loss : 1.073768, loss_ce: 1.304414
2022-04-18 21:40:49,234 iteration 7 : loss : 1.052293, loss_ce: 1.268002
2022-04-18 21:40:50,335 iteration 8 : loss : 1.046262, loss_ce: 1.236174
2022-04-18 21:40:52,177 iteration 9 : loss : 1.019322, loss_ce: 1.205147
2022-04-18 21:40:53,012 iteration 10 : loss : 1.008544, loss_ce: 1.183711
2022-04-18 21:40:55,171 iteration 11 : loss : 1.023051, loss_ce: 1.195408
2022-04-18 21:40:57,061 iteration 12 : loss : 0.987700, loss_ce: 1.138570
2022-04-18 21:40:58,785 iteration 13 : loss : 0.994494, loss_ce: 1.149741
2022-04-18 21:41:00,112 iteration 14 : loss : 0.951585, loss_ce: 1.083641
2022-04-18 21:41:02,221 iteration 15 : loss : 0.941067, loss_ce: 1.055674
2022-04-18 21:41:03,931 iteration 16 : loss : 0.934655, loss_ce: 1.048850
2022-04-18 21:41:05,474 iteration 17 : loss : 0.913791, loss_ce: 1.016194
2022-04-18 21:41:06,845 iteration 18 : loss : 0.925312, loss_ce: 1.027604
2022-04-18 21:41:08,071 iteration 19 : loss : 0.909942, loss_ce: 0.996545
2022-04-18 21:41:09,351 iteration 20 : loss : 0.914400, loss_ce: 1.003945
2022-04-18 21:41:10,473 iteration 21 : loss : 0.936141, loss_ce: 1.044072
2022-04-18 21:41:12,716 iteration 22 : loss : 0.898743, loss_ce: 0.972745
2022-04-18 21:41:14,309 iteration 23 : loss : 0.873945, loss_ce: 0.936036
2022-04-18 21:41:16,275 iteration 24 : loss : 0.871212, loss_ce: 0.930068
2022-04-18 21:41:17,239 iteration 25 : loss : 0.887499, loss_ce: 0.957528
2022-04-18 21:41:18,858 iteration 26 : loss : 0.842146, loss_ce: 0.880813
2022-04-18 21:41:20,204 iteration 27 : loss : 0.843257, loss_ce: 0.884112
2022-04-18 21:41:21,909 iteration 28 : loss : 0.839584, loss_ce: 0.875402
2022-04-18 21:41:24,045 iteration 29 : loss : 0.840519, loss_ce: 0.885265
2022-04-18 21:41:26,150 iteration 30 : loss : 0.828790, loss_ce: 0.862907
2022-04-18 21:41:27,878 iteration 31 : loss : 0.804099, loss_ce: 0.819332
2022-04-18 21:41:29,914 iteration 32 : loss : 0.821792, loss_ce: 0.840869
