2022-03-31 12:04:58,471 ============================================================
2022-03-31 12:04:58,472 Loading data...
2022-03-31 12:04:58,475 Already preprocessed Training Data Part 1. Loading now...
2022-03-31 12:04:58,496 Already preprocessed Training Data Part2. Loading now...
2022-03-31 12:04:58,505 Already preprocessed Training Data Part3. Loading now...
2022-03-31 12:04:58,513 Already preprocessed this configuration. Loading now...
2022-03-31 12:11:46,958 Training Images: torch.Size([240, 240, 54560])
2022-03-31 12:11:46,959 Training Labels: torch.Size([240, 240, 54560])
2022-03-31 12:11:46,959 Validation Images: torch.Size([240, 240, 12400])
2022-03-31 12:11:46,959 Validation Labels: torch.Size([240, 240, 12400])
2022-03-31 12:11:46,959 ============================================================
2022-03-31 12:11:47,054 17 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-03-31 12:11:54,127 iteration 1 : loss : 1.153733, loss_ce: 1.433220
2022-03-31 12:11:57,003 iteration 2 : loss : 1.080780, loss_ce: 1.308942
2022-03-31 12:11:59,064 iteration 3 : loss : 1.022135, loss_ce: 1.215187
2022-03-31 12:12:01,412 iteration 4 : loss : 0.983876, loss_ce: 1.135717
2022-03-31 12:12:03,928 iteration 5 : loss : 0.910441, loss_ce: 1.027061
2022-03-31 12:12:06,299 iteration 6 : loss : 0.834026, loss_ce: 0.935710
2022-03-31 12:12:08,328 iteration 7 : loss : 0.815678, loss_ce: 0.877242
2022-03-31 12:12:11,620 iteration 8 : loss : 0.832543, loss_ce: 0.866619
2022-03-31 12:12:14,151 iteration 9 : loss : 0.726759, loss_ce: 0.741181
2022-03-31 12:12:16,213 iteration 10 : loss : 0.667865, loss_ce: 0.682826
2022-03-31 12:12:18,600 iteration 11 : loss : 0.663567, loss_ce: 0.629934
2022-03-31 12:12:20,500 iteration 12 : loss : 0.650636, loss_ce: 0.583088
2022-03-31 12:12:22,474 iteration 13 : loss : 0.613607, loss_ce: 0.516939
2022-03-31 12:12:25,196 iteration 14 : loss : 0.577994, loss_ce: 0.458969
2022-03-31 12:12:27,557 iteration 15 : loss : 0.535300, loss_ce: 0.414268
2022-03-31 12:12:29,776 iteration 16 : loss : 0.517509, loss_ce: 0.381806
2022-03-31 12:12:32,338 iteration 17 : loss : 0.498114, loss_ce: 0.342196
2022-03-31 12:12:34,919 iteration 18 : loss : 0.475363, loss_ce: 0.306730
2022-03-31 12:12:38,000 iteration 19 : loss : 0.449330, loss_ce: 0.283898
2022-03-31 12:12:40,740 iteration 20 : loss : 0.420067, loss_ce: 0.252093
2022-03-31 12:12:42,772 iteration 21 : loss : 0.421791, loss_ce: 0.234026
2022-03-31 12:12:45,666 iteration 22 : loss : 0.411769, loss_ce: 0.211983
2022-03-31 12:12:47,934 iteration 23 : loss : 0.395327, loss_ce: 0.195736
2022-03-31 12:12:50,304 iteration 24 : loss : 0.368890, loss_ce: 0.173670
2022-03-31 12:12:52,669 iteration 25 : loss : 0.358578, loss_ce: 0.161074
2022-03-31 12:12:55,522 iteration 26 : loss : 0.339767, loss_ce: 0.145877
2022-03-31 12:12:58,224 iteration 27 : loss : 0.364058, loss_ce: 0.134847
2022-03-31 12:13:00,502 iteration 28 : loss : 0.346780, loss_ce: 0.122450
2022-03-31 12:13:02,848 iteration 29 : loss : 0.329219, loss_ce: 0.112492
2022-03-31 12:13:05,755 iteration 30 : loss : 0.301048, loss_ce: 0.108432
2022-03-31 12:13:09,037 iteration 31 : loss : 0.319286, loss_ce: 0.112046
2022-03-31 12:13:11,615 iteration 32 : loss : 0.288982, loss_ce: 0.102004
2022-03-31 12:13:13,698 iteration 33 : loss : 0.310351, loss_ce: 0.099362
2022-03-31 12:13:16,548 iteration 34 : loss : 0.295929, loss_ce: 0.089219
2022-03-31 12:13:18,994 iteration 35 : loss : 0.317879, loss_ce: 0.087914
2022-03-31 12:13:21,617 iteration 36 : loss : 0.258179, loss_ce: 0.067649
2022-03-31 12:13:24,361 iteration 37 : loss : 0.331704, loss_ce: 0.067749
2022-03-31 12:13:26,914 iteration 38 : loss : 0.288578, loss_ce: 0.065595
2022-03-31 12:13:29,866 iteration 39 : loss : 0.272918, loss_ce: 0.066137
2022-03-31 12:13:32,275 iteration 40 : loss : 0.262542, loss_ce: 0.075267
2022-03-31 12:13:34,934 iteration 41 : loss : 0.303885, loss_ce: 0.081404
2022-03-31 12:13:38,022 iteration 42 : loss : 0.306550, loss_ce: 0.084158
2022-03-31 12:13:40,303 iteration 43 : loss : 0.296739, loss_ce: 0.066591
2022-03-31 12:13:42,656 iteration 44 : loss : 0.280578, loss_ce: 0.054873
2022-03-31 12:13:45,398 iteration 45 : loss : 0.270608, loss_ce: 0.058644
2022-03-31 12:13:47,905 iteration 46 : loss : 0.258626, loss_ce: 0.053928
2022-03-31 12:13:50,141 iteration 47 : loss : 0.273310, loss_ce: 0.058936
2022-03-31 12:13:52,282 iteration 48 : loss : 0.235864, loss_ce: 0.044274
2022-03-31 12:13:54,966 iteration 49 : loss : 0.274092, loss_ce: 0.060855
2022-03-31 12:13:57,478 iteration 50 : loss : 0.256879, loss_ce: 0.060433
2022-03-31 12:14:00,381 iteration 51 : loss : 0.256760, loss_ce: 0.041168
2022-03-31 12:14:02,156 iteration 52 : loss : 0.241747, loss_ce: 0.037863
2022-03-31 12:14:04,876 iteration 53 : loss : 0.237655, loss_ce: 0.031605
2022-03-31 12:14:06,568 iteration 54 : loss : 0.334649, loss_ce: 0.042255
2022-03-31 12:14:09,165 iteration 55 : loss : 0.258126, loss_ce: 0.034414
2022-03-31 12:14:11,800 iteration 56 : loss : 0.263287, loss_ce: 0.043164
2022-03-31 12:14:14,098 iteration 57 : loss : 0.250911, loss_ce: 0.040157
2022-03-31 12:14:16,682 iteration 58 : loss : 0.253583, loss_ce: 0.042634
2022-03-31 12:14:18,954 iteration 59 : loss : 0.240033, loss_ce: 0.038433
2022-03-31 12:14:21,688 iteration 60 : loss : 0.348646, loss_ce: 0.046586
2022-03-31 12:14:25,569 iteration 61 : loss : 0.235784, loss_ce: 0.033402
2022-03-31 12:14:28,840 iteration 62 : loss : 0.232563, loss_ce: 0.028885
2022-03-31 12:14:31,628 iteration 63 : loss : 0.217240, loss_ce: 0.028066
2022-03-31 12:14:34,288 iteration 64 : loss : 0.227367, loss_ce: 0.033472
2022-03-31 12:14:37,207 iteration 65 : loss : 0.276533, loss_ce: 0.043466
2022-03-31 12:14:39,411 iteration 66 : loss : 0.269273, loss_ce: 0.043362
2022-03-31 12:14:42,290 iteration 67 : loss : 0.219843, loss_ce: 0.034200
2022-03-31 12:14:44,919 iteration 68 : loss : 0.323134, loss_ce: 0.039929
2022-03-31 12:14:47,320 iteration 69 : loss : 0.212076, loss_ce: 0.034603
2022-03-31 12:14:50,562 iteration 70 : loss : 0.246586, loss_ce: 0.047047
2022-03-31 12:14:52,831 iteration 71 : loss : 0.230201, loss_ce: 0.036891
2022-03-31 12:14:55,422 iteration 72 : loss : 0.223663, loss_ce: 0.039802
2022-03-31 12:14:57,614 iteration 73 : loss : 0.247877, loss_ce: 0.035207
2022-03-31 12:15:00,092 iteration 74 : loss : 0.299891, loss_ce: 0.036490
2022-03-31 12:15:02,992 iteration 75 : loss : 0.210937, loss_ce: 0.034103
2022-03-31 12:15:05,690 iteration 76 : loss : 0.225643, loss_ce: 0.024399
2022-03-31 12:15:08,261 iteration 77 : loss : 0.175861, loss_ce: 0.021581
