2022-03-13 21:38:36,034 ============================================================
2022-03-13 21:38:36,035 Loading data...
2022-03-13 21:38:36,036 Already preprocessed this configuration. Loading now...
2022-03-13 21:38:36,316 Already preprocessed this configuration. Loading now...
2022-03-13 21:42:30,560 Training Images: torch.Size([240, 240, 54560])
2022-03-13 21:42:30,561 Training Labels: torch.Size([240, 240, 54560])
2022-03-13 21:42:30,561 Validation Images: torch.Size([240, 240, 12400])
2022-03-13 21:42:30,561 Validation Labels: torch.Size([240, 240, 12400])
2022-03-13 21:42:30,561 ============================================================
2022-03-13 21:42:30,608 9 iterations per epoch. 119351 max iterations 

  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-03-13 21:42:32,795 iteration 1 : loss : 1.056917, loss_ce: 1.249767
2022-03-13 21:42:34,915 iteration 2 : loss : 1.021952, loss_ce: 1.185215
2022-03-13 21:42:36,280 iteration 3 : loss : 0.971760, loss_ce: 1.107933
2022-03-13 21:42:37,891 iteration 4 : loss : 0.956318, loss_ce: 1.076823
2022-03-13 21:42:39,680 iteration 5 : loss : 0.914685, loss_ce: 1.014757
2022-03-13 21:42:41,357 iteration 6 : loss : 0.889784, loss_ce: 0.978855
2022-03-13 21:42:42,723 iteration 7 : loss : 0.891686, loss_ce: 0.963740
2022-03-13 21:42:45,243 iteration 8 : loss : 0.905028, loss_ce: 0.977013
2022-03-13 21:42:47,069 iteration 9 : loss : 0.841694, loss_ce: 0.904126
2022-03-13 21:42:48,464 iteration 10 : loss : 0.829705, loss_ce: 0.870775
2022-03-13 21:42:50,156 iteration 11 : loss : 0.819440, loss_ce: 0.843516
2022-03-13 21:42:51,418 iteration 12 : loss : 0.814038, loss_ce: 0.819042
2022-03-13 21:42:52,746 iteration 13 : loss : 0.791331, loss_ce: 0.788743
2022-03-13 21:42:54,738 iteration 14 : loss : 0.782024, loss_ce: 0.764793
2022-03-13 21:42:56,403 iteration 15 : loss : 0.767211, loss_ce: 0.739969
2022-03-13 21:42:57,928 iteration 16 : loss : 0.757531, loss_ce: 0.719463
2022-03-13 21:42:59,749 iteration 17 : loss : 0.740798, loss_ce: 0.694625
2022-03-13 21:43:01,569 iteration 18 : loss : 0.743678, loss_ce: 0.689909
2022-03-13 21:43:03,867 iteration 19 : loss : 0.712597, loss_ce: 0.657538
2022-03-13 21:43:05,846 iteration 20 : loss : 0.712465, loss_ce: 0.648577
2022-03-13 21:43:07,142 iteration 21 : loss : 0.706164, loss_ce: 0.636279
2022-03-13 21:43:09,255 iteration 22 : loss : 0.690767, loss_ce: 0.615359
2022-03-13 21:43:10,773 iteration 23 : loss : 0.675476, loss_ce: 0.598561
2022-03-13 21:43:12,391 iteration 24 : loss : 0.673055, loss_ce: 0.583994
2022-03-13 21:43:13,973 iteration 25 : loss : 0.667446, loss_ce: 0.579958
2022-03-13 21:43:16,029 iteration 26 : loss : 0.661337, loss_ce: 0.550488
2022-03-13 21:43:17,949 iteration 27 : loss : 0.655444, loss_ce: 0.534438
2022-03-13 21:43:19,373 iteration 28 : loss : 0.633443, loss_ce: 0.517538
2022-03-13 21:43:20,913 iteration 29 : loss : 0.702990, loss_ce: 0.615219
2022-03-13 21:43:23,025 iteration 30 : loss : 0.648900, loss_ce: 0.521640
2022-03-13 21:43:25,484 iteration 31 : loss : 0.623635, loss_ce: 0.490054
2022-03-13 21:43:27,278 iteration 32 : loss : 0.613743, loss_ce: 0.474979
2022-03-13 21:43:28,599 iteration 33 : loss : 0.600465, loss_ce: 0.473679
2022-03-13 21:43:30,649 iteration 34 : loss : 0.575617, loss_ce: 0.450271
2022-03-13 21:43:32,298 iteration 35 : loss : 0.592861, loss_ce: 0.442700
2022-03-13 21:43:34,127 iteration 36 : loss : 0.588630, loss_ce: 0.427698
2022-03-13 21:43:36,066 iteration 37 : loss : 0.589132, loss_ce: 0.416546
2022-03-13 21:43:37,834 iteration 38 : loss : 0.574760, loss_ce: 0.398930
2022-03-13 21:43:39,966 iteration 39 : loss : 0.546098, loss_ce: 0.397537
2022-03-13 21:43:41,585 iteration 40 : loss : 0.533175, loss_ce: 0.375295
2022-03-13 21:43:43,442 iteration 41 : loss : 0.547598, loss_ce: 0.380970
2022-03-13 21:43:45,695 iteration 42 : loss : 0.566676, loss_ce: 0.372196
2022-03-13 21:43:47,200 iteration 43 : loss : 0.559311, loss_ce: 0.359684
2022-03-13 21:43:48,771 iteration 44 : loss : 0.515286, loss_ce: 0.344339
2022-03-13 21:43:50,688 iteration 45 : loss : 0.508667, loss_ce: 0.337980
2022-03-13 21:43:52,395 iteration 46 : loss : 0.538386, loss_ce: 0.322144
2022-03-13 21:43:53,851 iteration 47 : loss : 0.515936, loss_ce: 0.316783
2022-03-13 21:43:55,219 iteration 48 : loss : 0.522447, loss_ce: 0.306848
2022-03-13 21:43:57,080 iteration 49 : loss : 0.521614, loss_ce: 0.304180
2022-03-13 21:43:58,792 iteration 50 : loss : 0.530798, loss_ce: 0.300664
2022-03-13 21:44:00,874 iteration 51 : loss : 0.485720, loss_ce: 0.283639
2022-03-13 21:44:01,925 iteration 52 : loss : 0.518196, loss_ce: 0.277103
2022-03-13 21:44:03,821 iteration 53 : loss : 0.495113, loss_ce: 0.267043
2022-03-13 21:44:04,764 iteration 54 : loss : 0.474416, loss_ce: 0.259321
2022-03-13 21:44:06,529 iteration 55 : loss : 0.492535, loss_ce: 0.259504
2022-03-13 21:44:08,353 iteration 56 : loss : 0.476575, loss_ce: 0.257852
2022-03-13 21:44:09,872 iteration 57 : loss : 0.494000, loss_ce: 0.248838
2022-03-13 21:44:11,595 iteration 58 : loss : 0.501606, loss_ce: 0.245815
2022-03-13 21:44:13,100 iteration 59 : loss : 0.437383, loss_ce: 0.234413
2022-03-13 21:44:15,009 iteration 60 : loss : 0.490842, loss_ce: 0.246857
2022-03-13 21:44:17,972 iteration 61 : loss : 0.477784, loss_ce: 0.227894
2022-03-13 21:44:20,389 iteration 62 : loss : 0.487247, loss_ce: 0.220139
2022-03-13 21:44:22,354 iteration 63 : loss : 0.460531, loss_ce: 0.215385
2022-03-13 21:44:24,206 iteration 64 : loss : 0.484872, loss_ce: 0.213980
2022-03-13 21:44:26,300 iteration 65 : loss : 0.429962, loss_ce: 0.208062
2022-03-13 21:44:27,717 iteration 66 : loss : 0.441327, loss_ce: 0.197836
2022-03-13 21:44:29,750 iteration 67 : loss : 0.408434, loss_ce: 0.195363
2022-03-13 21:44:31,561 iteration 68 : loss : 0.468271, loss_ce: 0.197562
2022-03-13 21:44:33,148 iteration 69 : loss : 0.409214, loss_ce: 0.200383
2022-03-13 21:44:35,539 iteration 70 : loss : 0.416946, loss_ce: 0.191277
2022-03-13 21:44:37,035 iteration 71 : loss : 0.465914, loss_ce: 0.179501
2022-03-13 21:44:38,819 iteration 72 : loss : 0.439567, loss_ce: 0.180279
2022-03-13 21:44:40,236 iteration 73 : loss : 0.400043, loss_ce: 0.168200
2022-03-13 21:44:41,900 iteration 74 : loss : 0.447380, loss_ce: 0.172154
2022-03-13 21:44:43,958 iteration 75 : loss : 0.407132, loss_ce: 0.166571
2022-03-13 21:44:45,833 iteration 76 : loss : 0.413777, loss_ce: 0.166323
2022-03-13 21:44:47,591 iteration 77 : loss : 0.436190, loss_ce: 0.160451
2022-03-13 21:44:49,507 iteration 78 : loss : 0.394816, loss_ce: 0.151236
2022-03-13 21:44:51,264 iteration 79 : loss : 0.375835, loss_ce: 0.155906
2022-03-13 21:44:52,326 iteration 80 : loss : 0.405157, loss_ce: 0.145285
2022-03-13 21:44:53,915 iteration 81 : loss : 0.451430, loss_ce: 0.150047
2022-03-13 21:44:55,690 iteration 82 : loss : 0.425566, loss_ce: 0.141115
2022-03-13 21:44:58,429 iteration 83 : loss : 0.395209, loss_ce: 0.138839
2022-03-13 21:45:00,184 iteration 84 : loss : 0.444471, loss_ce: 0.136421
2022-03-13 21:45:02,176 iteration 85 : loss : 0.425490, loss_ce: 0.141297
2022-03-13 21:45:03,646 iteration 86 : loss : 0.413750, loss_ce: 0.141316
2022-03-13 21:45:05,099 iteration 87 : loss : 0.425080, loss_ce: 0.133962
2022-03-13 21:45:06,713 iteration 88 : loss : 0.441061, loss_ce: 0.129789
2022-03-13 21:45:09,135 iteration 89 : loss : 0.359258, loss_ce: 0.124619
2022-03-13 21:45:11,647 iteration 90 : loss : 0.351417, loss_ce: 0.126424
2022-03-13 21:45:13,363 iteration 91 : loss : 0.443137, loss_ce: 0.133811
2022-03-13 21:45:15,510 iteration 92 : loss : 0.407734, loss_ce: 0.120368
