2022-03-13 18:21:21,398 ============================================================
2022-03-13 18:21:21,399 Loading data...
2022-03-13 18:21:21,400 Already preprocessed this configuration. Loading now...
2022-03-13 18:21:21,684 Already preprocessed this configuration. Loading now...
2022-03-13 18:25:13,675 Training Images: torch.Size([240, 240, 54560])
2022-03-13 18:25:13,676 Training Labels: torch.Size([240, 240, 54560])
2022-03-13 18:25:13,676 Validation Images: torch.Size([240, 240, 12400])
2022-03-13 18:25:13,676 Validation Labels: torch.Size([240, 240, 12400])
2022-03-13 18:25:13,676 ============================================================
2022-03-13 18:25:13,711 9 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-03-13 18:25:15,873 iteration 1 : loss : 0.223817, loss_ce: 0.008810
2022-03-13 18:25:18,041 iteration 2 : loss : 0.300343, loss_ce: 0.003082
2022-03-13 18:25:19,439 iteration 3 : loss : 0.246295, loss_ce: 0.019701
2022-03-13 18:25:21,127 iteration 4 : loss : 0.152333, loss_ce: 0.004827
2022-03-13 18:25:22,986 iteration 5 : loss : 0.144265, loss_ce: 0.008448
2022-03-13 18:25:24,692 iteration 6 : loss : 0.197995, loss_ce: 0.006290
2022-03-13 18:25:26,075 iteration 7 : loss : 0.258557, loss_ce: 0.002035
2022-03-13 18:25:28,661 iteration 8 : loss : 0.377743, loss_ce: 0.005378
2022-03-13 18:25:30,516 iteration 9 : loss : 0.148716, loss_ce: 0.015590
2022-03-13 18:25:31,928 iteration 10 : loss : 0.259589, loss_ce: 0.002640
2022-03-13 18:25:33,639 iteration 11 : loss : 0.271177, loss_ce: 0.010440
2022-03-13 18:25:34,915 iteration 12 : loss : 0.156109, loss_ce: 0.005201
2022-03-13 18:25:36,254 iteration 13 : loss : 0.111649, loss_ce: 0.008865
2022-03-13 18:25:38,280 iteration 14 : loss : 0.214727, loss_ce: 0.007638
2022-03-13 18:25:39,969 iteration 15 : loss : 0.151076, loss_ce: 0.006332
2022-03-13 18:25:41,524 iteration 16 : loss : 0.139565, loss_ce: 0.003471
2022-03-13 18:25:43,368 iteration 17 : loss : 0.310311, loss_ce: 0.011663
2022-03-13 18:25:45,213 iteration 18 : loss : 0.170555, loss_ce: 0.004475
2022-03-13 18:25:47,559 iteration 19 : loss : 0.261939, loss_ce: 0.001970
2022-03-13 18:25:49,567 iteration 20 : loss : 0.136755, loss_ce: 0.004548
2022-03-13 18:25:50,858 iteration 21 : loss : 0.126512, loss_ce: 0.004670
2022-03-13 18:25:53,002 iteration 22 : loss : 0.199457, loss_ce: 0.008642
2022-03-13 18:25:54,533 iteration 23 : loss : 0.185559, loss_ce: 0.009190
2022-03-13 18:25:56,171 iteration 24 : loss : 0.116959, loss_ce: 0.006214
2022-03-13 18:25:57,761 iteration 25 : loss : 0.141180, loss_ce: 0.009460
2022-03-13 18:25:59,865 iteration 26 : loss : 0.128283, loss_ce: 0.003575
2022-03-13 18:26:01,834 iteration 27 : loss : 0.157105, loss_ce: 0.004869
2022-03-13 18:26:03,354 iteration 28 : loss : 0.049971, loss_ce: 0.004227
2022-03-13 18:26:04,954 iteration 29 : loss : 0.378928, loss_ce: 0.007660
2022-03-13 18:26:07,115 iteration 30 : loss : 0.328331, loss_ce: 0.003929
2022-03-13 18:26:09,623 iteration 31 : loss : 0.143017, loss_ce: 0.004072
2022-03-13 18:26:11,443 iteration 32 : loss : 0.071706, loss_ce: 0.004014
2022-03-13 18:26:12,774 iteration 33 : loss : 0.209851, loss_ce: 0.011730
2022-03-13 18:26:14,854 iteration 34 : loss : 0.118292, loss_ce: 0.013967
2022-03-13 18:26:16,534 iteration 35 : loss : 0.115898, loss_ce: 0.004695
2022-03-13 18:26:18,386 iteration 36 : loss : 0.087908, loss_ce: 0.003170
2022-03-13 18:26:20,365 iteration 37 : loss : 0.355558, loss_ce: 0.008608
2022-03-13 18:26:22,165 iteration 38 : loss : 0.110070, loss_ce: 0.002459
2022-03-13 18:26:24,347 iteration 39 : loss : 0.170586, loss_ce: 0.018733
2022-03-13 18:26:25,996 iteration 40 : loss : 0.176906, loss_ce: 0.010511
2022-03-13 18:26:27,877 iteration 41 : loss : 0.130555, loss_ce: 0.005844
2022-03-13 18:26:30,167 iteration 42 : loss : 0.342624, loss_ce: 0.002977
2022-03-13 18:26:31,701 iteration 43 : loss : 0.136065, loss_ce: 0.002220
2022-03-13 18:26:33,289 iteration 44 : loss : 0.194113, loss_ce: 0.012260
2022-03-13 18:26:35,228 iteration 45 : loss : 0.155573, loss_ce: 0.006787
2022-03-13 18:26:36,968 iteration 46 : loss : 0.140854, loss_ce: 0.004049
2022-03-13 18:26:38,439 iteration 47 : loss : 0.057215, loss_ce: 0.003532
2022-03-13 18:26:39,809 iteration 48 : loss : 0.115993, loss_ce: 0.006567
2022-03-13 18:26:41,695 iteration 49 : loss : 0.213921, loss_ce: 0.005450
2022-03-13 18:26:43,423 iteration 50 : loss : 0.375125, loss_ce: 0.000492
2022-03-13 18:26:45,543 iteration 51 : loss : 0.266145, loss_ce: 0.002685
2022-03-13 18:26:46,593 iteration 52 : loss : 0.375708, loss_ce: 0.001389
2022-03-13 18:26:48,536 iteration 53 : loss : 0.090687, loss_ce: 0.003015
2022-03-13 18:26:49,522 iteration 54 : loss : 0.270700, loss_ce: 0.003309
2022-03-13 18:26:51,350 iteration 55 : loss : 0.144130, loss_ce: 0.005533
2022-03-13 18:26:53,234 iteration 56 : loss : 0.126841, loss_ce: 0.002966
2022-03-13 18:26:54,807 iteration 57 : loss : 0.313796, loss_ce: 0.005764
2022-03-13 18:26:56,634 iteration 58 : loss : 0.375725, loss_ce: 0.001418
2022-03-13 18:26:58,182 iteration 59 : loss : 0.267766, loss_ce: 0.007016
2022-03-13 18:27:00,130 iteration 60 : loss : 0.346683, loss_ce: 0.008601
2022-03-13 18:27:03,186 iteration 61 : loss : 0.188244, loss_ce: 0.003828
2022-03-13 18:27:05,650 iteration 62 : loss : 0.343910, loss_ce: 0.001047
2022-03-13 18:27:07,653 iteration 63 : loss : 0.289224, loss_ce: 0.002470
2022-03-13 18:27:09,545 iteration 64 : loss : 0.375313, loss_ce: 0.000642
2022-03-13 18:27:11,668 iteration 65 : loss : 0.135647, loss_ce: 0.011040
2022-03-13 18:27:13,083 iteration 66 : loss : 0.203380, loss_ce: 0.006439
2022-03-13 18:27:15,138 iteration 67 : loss : 0.130940, loss_ce: 0.006243
2022-03-13 18:27:16,976 iteration 68 : loss : 0.303416, loss_ce: 0.001041
2022-03-13 18:27:18,591 iteration 69 : loss : 0.103436, loss_ce: 0.008651
2022-03-13 18:27:21,047 iteration 70 : loss : 0.126205, loss_ce: 0.004402
2022-03-13 18:27:22,563 iteration 71 : loss : 0.292199, loss_ce: 0.002350
2022-03-13 18:27:24,384 iteration 72 : loss : 0.056188, loss_ce: 0.002392
2022-03-13 18:27:25,825 iteration 73 : loss : 0.218194, loss_ce: 0.004221
2022-03-13 18:27:27,543 iteration 74 : loss : 0.342991, loss_ce: 0.010056
2022-03-13 18:27:29,652 iteration 75 : loss : 0.086423, loss_ce: 0.005221
2022-03-13 18:27:31,576 iteration 76 : loss : 0.091232, loss_ce: 0.005670
2022-03-13 18:27:33,384 iteration 77 : loss : 0.309614, loss_ce: 0.006928
2022-03-13 18:27:35,331 iteration 78 : loss : 0.095661, loss_ce: 0.002366
2022-03-13 18:27:37,121 iteration 79 : loss : 0.146007, loss_ce: 0.014467
2022-03-13 18:27:38,224 iteration 80 : loss : 0.089048, loss_ce: 0.002359
2022-03-13 18:27:39,886 iteration 81 : loss : 0.378408, loss_ce: 0.006722
2022-03-13 18:27:41,733 iteration 82 : loss : 0.165160, loss_ce: 0.002355
2022-03-13 18:27:44,532 iteration 83 : loss : 0.138742, loss_ce: 0.002377
2022-03-13 18:27:46,305 iteration 84 : loss : 0.375365, loss_ce: 0.000722
2022-03-13 18:27:48,333 iteration 85 : loss : 0.360633, loss_ce: 0.005740
2022-03-13 18:27:49,831 iteration 86 : loss : 0.222820, loss_ce: 0.005431
2022-03-13 18:27:51,319 iteration 87 : loss : 0.161559, loss_ce: 0.002408
2022-03-13 18:27:52,988 iteration 88 : loss : 0.375459, loss_ce: 0.000898
2022-03-13 18:27:55,472 iteration 89 : loss : 0.050991, loss_ce: 0.004572
2022-03-13 18:27:58,027 iteration 90 : loss : 0.078794, loss_ce: 0.005993
2022-03-13 18:27:59,761 iteration 91 : loss : 0.375441, loss_ce: 0.000896
2022-03-13 18:28:01,948 iteration 92 : loss : 0.285828, loss_ce: 0.008525
2022-03-13 18:28:04,230 iteration 93 : loss : 0.178568, loss_ce: 0.004635
2022-03-13 18:28:05,470 iteration 94 : loss : 0.066804, loss_ce: 0.002238
2022-03-13 18:28:08,012 iteration 95 : loss : 0.147161, loss_ce: 0.007636
2022-03-13 18:28:09,455 iteration 96 : loss : 0.073854, loss_ce: 0.004453
2022-03-13 18:28:11,241 iteration 97 : loss : 0.270399, loss_ce: 0.001307
2022-03-13 18:28:13,092 iteration 98 : loss : 0.089523, loss_ce: 0.003278
2022-03-13 18:28:14,977 iteration 99 : loss : 0.233682, loss_ce: 0.006866
2022-03-13 18:28:16,592 iteration 100 : loss : 0.079394, loss_ce: 0.001282
2022-03-13 18:28:18,100 iteration 101 : loss : 0.130271, loss_ce: 0.005151
2022-03-13 18:28:20,232 iteration 102 : loss : 0.371078, loss_ce: 0.006692
2022-03-13 18:28:22,188 iteration 103 : loss : 0.269670, loss_ce: 0.005254
2022-03-13 18:28:24,063 iteration 104 : loss : 0.098727, loss_ce: 0.006845
2022-03-13 18:28:25,956 iteration 105 : loss : 0.208941, loss_ce: 0.001681
2022-03-13 18:28:27,534 iteration 106 : loss : 0.116698, loss_ce: 0.006228
2022-03-13 18:28:29,713 iteration 107 : loss : 0.304419, loss_ce: 0.005602
2022-03-13 18:28:31,401 iteration 108 : loss : 0.173009, loss_ce: 0.003681
2022-03-13 18:28:32,765 iteration 109 : loss : 0.121770, loss_ce: 0.012791
2022-03-13 18:28:34,113 iteration 110 : loss : 0.103034, loss_ce: 0.004851
2022-03-13 18:28:35,644 iteration 111 : loss : 0.298554, loss_ce: 0.003078
2022-03-13 18:28:37,846 iteration 112 : loss : 0.105322, loss_ce: 0.005636
2022-03-13 18:28:39,816 iteration 113 : loss : 0.134782, loss_ce: 0.004095
2022-03-13 18:28:42,419 iteration 114 : loss : 0.298109, loss_ce: 0.010500
2022-03-13 18:28:43,627 iteration 115 : loss : 0.042887, loss_ce: 0.002807
2022-03-13 18:28:46,486 iteration 116 : loss : 0.091071, loss_ce: 0.006252
2022-03-13 18:28:48,236 iteration 117 : loss : 0.271626, loss_ce: 0.005044
2022-03-13 18:28:50,615 iteration 118 : loss : 0.072680, loss_ce: 0.005148
2022-03-13 18:28:51,928 iteration 119 : loss : 0.121986, loss_ce: 0.003559
2022-03-13 18:28:53,975 iteration 120 : loss : 0.121650, loss_ce: 0.004858
2022-03-13 18:28:55,944 iteration 121 : loss : 0.297113, loss_ce: 0.002722
2022-03-13 18:28:57,918 iteration 122 : loss : 0.130426, loss_ce: 0.004945
2022-03-13 18:28:59,937 iteration 123 : loss : 0.157080, loss_ce: 0.010367
2022-03-13 18:29:01,631 iteration 124 : loss : 0.085050, loss_ce: 0.001832
2022-03-13 18:29:03,599 iteration 125 : loss : 0.215634, loss_ce: 0.001272
2022-03-13 18:29:05,416 iteration 126 : loss : 0.065006, loss_ce: 0.002975
2022-03-13 18:29:07,646 iteration 127 : loss : 0.168863, loss_ce: 0.008144
2022-03-13 18:29:09,319 iteration 128 : loss : 0.271186, loss_ce: 0.002601
2022-03-13 18:29:11,243 iteration 129 : loss : 0.119140, loss_ce: 0.004217
2022-03-13 18:29:12,597 iteration 130 : loss : 0.115922, loss_ce: 0.006027
2022-03-13 18:29:14,424 iteration 131 : loss : 0.112810, loss_ce: 0.009982
2022-03-13 18:29:16,791 iteration 132 : loss : 0.205242, loss_ce: 0.021934
2022-03-13 18:29:18,894 iteration 133 : loss : 0.375872, loss_ce: 0.001689
2022-03-13 18:29:20,435 iteration 134 : loss : 0.376661, loss_ce: 0.003212
2022-03-13 18:29:22,245 iteration 135 : loss : 0.140211, loss_ce: 0.006795
2022-03-13 18:29:23,873 iteration 136 : loss : 0.156653, loss_ce: 0.009227
2022-03-13 18:29:25,594 iteration 137 : loss : 0.109637, loss_ce: 0.003969
2022-03-13 18:29:27,418 iteration 138 : loss : 0.214687, loss_ce: 0.018431
2022-03-13 18:29:29,033 iteration 139 : loss : 0.375952, loss_ce: 0.001966
2022-03-13 18:29:30,789 iteration 140 : loss : 0.187392, loss_ce: 0.005648
2022-03-13 18:29:32,307 iteration 141 : loss : 0.288294, loss_ce: 0.005546
2022-03-13 18:29:34,533 iteration 142 : loss : 0.182289, loss_ce: 0.015130
2022-03-13 18:29:36,279 iteration 143 : loss : 0.344743, loss_ce: 0.012448
2022-03-13 18:29:37,778 iteration 144 : loss : 0.346343, loss_ce: 0.008828
2022-03-13 18:29:39,411 iteration 145 : loss : 0.371160, loss_ce: 0.005157
2022-03-13 18:29:40,990 iteration 146 : loss : 0.357699, loss_ce: 0.012500
2022-03-13 18:29:43,279 iteration 147 : loss : 0.090009, loss_ce: 0.011440
2022-03-13 18:29:45,179 iteration 148 : loss : 0.349708, loss_ce: 0.005758
2022-03-13 18:29:47,179 iteration 149 : loss : 0.263894, loss_ce: 0.001461
2022-03-13 18:29:49,602 iteration 150 : loss : 0.292569, loss_ce: 0.005978
2022-03-13 18:29:51,644 iteration 151 : loss : 0.215148, loss_ce: 0.004726
2022-03-13 18:29:53,692 iteration 152 : loss : 0.379779, loss_ce: 0.009462
2022-03-13 18:29:55,529 iteration 153 : loss : 0.161462, loss_ce: 0.004900
2022-03-13 18:29:57,595 iteration 154 : loss : 0.179729, loss_ce: 0.007098
2022-03-13 18:29:59,200 iteration 155 : loss : 0.152913, loss_ce: 0.003774
2022-03-13 18:30:01,098 iteration 156 : loss : 0.347301, loss_ce: 0.001186
2022-03-13 18:30:03,304 iteration 157 : loss : 0.374768, loss_ce: 0.000272
2022-03-13 18:30:04,939 iteration 158 : loss : 0.235455, loss_ce: 0.002917
2022-03-13 18:30:06,306 iteration 159 : loss : 0.171059, loss_ce: 0.005293
2022-03-13 18:30:08,575 iteration 160 : loss : 0.076620, loss_ce: 0.002604
2022-03-13 18:30:10,682 iteration 161 : loss : 0.374309, loss_ce: 0.000182
2022-03-13 18:30:12,148 iteration 162 : loss : 0.146137, loss_ce: 0.003013
2022-03-13 18:30:14,887 iteration 163 : loss : 0.372779, loss_ce: 0.000312
2022-03-13 18:30:17,332 iteration 164 : loss : 0.374440, loss_ce: 0.000234
2022-03-13 18:30:19,160 iteration 165 : loss : 0.085982, loss_ce: 0.004991
2022-03-13 18:30:20,819 iteration 166 : loss : 0.151320, loss_ce: 0.001492
2022-03-13 18:30:22,788 iteration 167 : loss : 0.169602, loss_ce: 0.015339
2022-03-13 18:30:25,466 iteration 168 : loss : 0.181714, loss_ce: 0.014414
2022-03-13 18:30:26,947 iteration 169 : loss : 0.318904, loss_ce: 0.001799
2022-03-13 18:30:28,466 iteration 170 : loss : 0.264394, loss_ce: 0.001885
2022-03-13 18:30:30,359 iteration 171 : loss : 0.126147, loss_ce: 0.007497
2022-03-13 18:30:31,916 iteration 172 : loss : 0.263726, loss_ce: 0.001634
2022-03-13 18:30:33,770 iteration 173 : loss : 0.374758, loss_ce: 0.001396
2022-03-13 18:30:35,549 iteration 174 : loss : 0.070650, loss_ce: 0.002255
2022-03-13 18:30:37,073 iteration 175 : loss : 0.149450, loss_ce: 0.009981
2022-03-13 18:30:38,197 iteration 176 : loss : 0.253287, loss_ce: 0.005151
2022-03-13 18:30:40,679 iteration 177 : loss : 0.297967, loss_ce: 0.010027
2022-03-13 18:30:42,664 iteration 178 : loss : 0.301093, loss_ce: 0.013105
2022-03-13 18:30:44,331 iteration 179 : loss : 0.333361, loss_ce: 0.009658
2022-03-13 18:30:46,002 iteration 180 : loss : 0.139240, loss_ce: 0.006880
2022-03-13 18:30:48,571 iteration 181 : loss : 0.093067, loss_ce: 0.005836
2022-03-13 18:30:50,471 iteration 182 : loss : 0.375888, loss_ce: 0.001721
2022-03-13 18:30:51,673 iteration 183 : loss : 0.114726, loss_ce: 0.002760
2022-03-13 18:30:54,166 iteration 184 : loss : 0.131195, loss_ce: 0.008087
2022-03-13 18:30:56,143 iteration 185 : loss : 0.268128, loss_ce: 0.001713
2022-03-13 18:30:57,893 iteration 186 : loss : 0.075262, loss_ce: 0.006905
2022-03-13 18:31:00,094 iteration 187 : loss : 0.081273, loss_ce: 0.001924
2022-03-13 18:31:02,650 iteration 188 : loss : 0.181739, loss_ce: 0.011810
2022-03-13 18:31:04,668 iteration 189 : loss : 0.201330, loss_ce: 0.015326
2022-03-13 18:31:06,878 iteration 190 : loss : 0.211911, loss_ce: 0.012125
2022-03-13 18:31:09,016 iteration 191 : loss : 0.174352, loss_ce: 0.002908
2022-03-13 18:31:11,045 iteration 192 : loss : 0.297653, loss_ce: 0.006576
2022-03-13 18:31:13,233 iteration 193 : loss : 0.271984, loss_ce: 0.001040
2022-03-13 18:31:14,635 iteration 194 : loss : 0.127412, loss_ce: 0.003132
2022-03-13 18:31:17,503 iteration 195 : loss : 0.340611, loss_ce: 0.004864
2022-03-13 18:31:18,913 iteration 196 : loss : 0.153826, loss_ce: 0.008117
2022-03-13 18:31:20,492 iteration 197 : loss : 0.184210, loss_ce: 0.009020
2022-03-13 18:31:22,749 iteration 198 : loss : 0.375276, loss_ce: 0.000547
2022-03-13 18:31:24,874 iteration 199 : loss : 0.298946, loss_ce: 0.000988
2022-03-13 18:31:26,281 iteration 200 : loss : 0.125584, loss_ce: 0.003360
2022-03-13 18:31:27,850 iteration 201 : loss : 0.083746, loss_ce: 0.002739
2022-03-13 18:31:30,211 iteration 202 : loss : 0.072310, loss_ce: 0.001276
2022-03-13 18:31:32,204 iteration 203 : loss : 0.054405, loss_ce: 0.002586
2022-03-13 18:31:33,787 iteration 204 : loss : 0.273235, loss_ce: 0.004549
2022-03-13 18:31:35,971 iteration 205 : loss : 0.119228, loss_ce: 0.006345
2022-03-13 18:31:37,521 iteration 206 : loss : 0.380491, loss_ce: 0.010679
2022-03-13 18:31:39,246 iteration 207 : loss : 0.091948, loss_ce: 0.005716
2022-03-13 18:31:41,300 iteration 208 : loss : 0.097087, loss_ce: 0.005356
2022-03-13 18:31:42,628 iteration 209 : loss : 0.090717, loss_ce: 0.005680
2022-03-13 18:31:44,509 iteration 210 : loss : 0.140586, loss_ce: 0.012597
2022-03-13 18:31:46,524 iteration 211 : loss : 0.314395, loss_ce: 0.008389
2022-03-13 18:31:48,560 iteration 212 : loss : 0.302543, loss_ce: 0.013211
2022-03-13 18:31:50,522 iteration 213 : loss : 0.234961, loss_ce: 0.010606
2022-03-13 18:31:52,341 iteration 214 : loss : 0.369502, loss_ce: 0.010963
2022-03-13 18:31:54,285 iteration 215 : loss : 0.379576, loss_ce: 0.008931
2022-03-13 18:31:56,119 iteration 216 : loss : 0.154745, loss_ce: 0.007245
2022-03-13 18:31:57,940 iteration 217 : loss : 0.173064, loss_ce: 0.004798
2022-03-13 18:31:59,738 iteration 218 : loss : 0.319678, loss_ce: 0.009044
2022-03-13 18:32:02,214 iteration 219 : loss : 0.275435, loss_ce: 0.006676
2022-03-13 18:32:03,960 iteration 220 : loss : 0.131457, loss_ce: 0.002543
2022-03-13 18:32:05,474 iteration 221 : loss : 0.159897, loss_ce: 0.011011
2022-03-13 18:32:07,598 iteration 222 : loss : 0.116688, loss_ce: 0.003443
2022-03-13 18:32:09,895 iteration 223 : loss : 0.183346, loss_ce: 0.003409
